stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
36,HANMAIN,HANSON ST & E MAIN ST,,39.956666,-82.77903,,,,
54,MOUWAYW,W MOUND ST & S WAYNE AVE,,39.938547,-83.062991,,,,
141,MARIONS,MARION FRANKLIN COMMUNITY CENTER,MARION FRANKLIN COMMUNITY CTR,39.907661,-82.967364,,,,
388,SOUTER2,SOUTH TERMINAL BAY 2,COTA SOUTH TERMINAL & BAY 2,39.956887,-82.998934,,,,
411,SOUTER4,SOUTH TERMINAL BAY 4,COTA SOUTH TERMINAL & BAY 4,39.956887,-82.998934,,,,
427,SOUTER7,SOUTH TERMINAL BAY 7,COTA SOUTH TERMINAL & BAY 7,39.956905,-82.998922,,,,
429,NORTER2,NORTH TERMINAL BAY 2,COTA NORTH TERMINAL & BAY 2,39.965879,-83.002412,,,,
440,NORTER3,NORTH TERMINAL BAY 3,COTA NORTH TERMINAL & BAY 3,39.965879,-83.002412,,,,
454,SOUTER9,SOUTH TERMINAL BAY 9,COTA SOUTH TERMINAL & BAY 9,39.956905,-82.998922,,,,
455,NORTER4,NORTH TERMINAL BAY 4,COTA NORTH TERMINAL & BAY 4,39.965879,-83.002412,,,,
467,SOUTER3,SOUTH TERMINAL BAY 3,COTA SOUTH TERMINAL & BAY 3,39.956905,-82.998922,,,,
478,SOUTER6,SOUTH TERMINAL BAY 6,COTA SOUTH TERMINAL & BAY 6,39.956887,-82.998934,,,,
498,SOUTER8,SOUTH TERMINAL BAY 8,COTA SOUTH TERMINAL & BAY 8,39.956887,-82.998934,,,,
524,SOUTER5,SOUTH TERMINAL BAY 5,COTA SOUTH TERMINAL & BAY 5,39.956905,-82.998922,,,,
525,NORTER1,NORTH TERMINAL BAY 1,COTA NORTH TERMINAL & BAY 1,39.965879,-83.002412,,,,
568,NORTER5,NORTH TERMINAL BAY 5,COTA NORTH TERMINAL & BAY 5,39.965879,-83.002412,,,,
932,TECAEPE,TECHCENTER DR & AEP,TECHCENTER DR & AEP TECHCENTER LOOP,39.999934,-82.853834,,,,
1059,HIGHOSS,S HIGH ST & HOSACK ST,,39.92302,-82.995545,,,,
1086,LIVBULW,E LIVINGSTON AVE & BULEN AVE,,39.948836,-82.951647,,,,
1087,CLELONN,CLEVELAND AVE & E LONG ST,,39.966625,-82.990461,,,,
1088,CLESPRN,CLEVELAND AVE & E SPRING ST,,39.967745,-82.99052,,,,
1089,CLEMOUN,CLEVELAND AVE & MOUNT VERNON AVE,,39.969554,-82.99037,,,,
1090,CLEGRON,CLEVELAND AVE & GROVE ST,,39.970778,-82.990278,,,,
1091,CLEJACN,CLEVELAND AVE & JACK GIBBS BLVD,,39.972493,-82.990132,,,,
1094,CLE2NDN,CLEVELAND AVE & E 2ND AVE,,39.981514,-82.989457,,,,
1095,CLE3RDN,CLEVELAND AVE & E 3RD AVE,,39.983318,-82.989321,,,,
1098,CLESHON,CLEVELAND AVE & SHOEMAKER AVE,,39.988178,-82.987305,,,,
1099,CLECAMN,CLEVELAND AVE & CAMDEN AVE,,39.990831,-82.984583,,,,
1100,CLE11TN,CLEVELAND AVE & E 11TH AVE,,39.993413,-82.981879,,,,
1101,CLECHIN,CLEVELAND AVE & CHITTENDEN AVE,,39.995615,-82.979577,,,,
1102,CLEWINN,CLEVELAND AVE & WINDSOR AVE,,39.997133,-82.977974,,,,
1103,CLE15TN,CLEVELAND AVE & E 15TH AVE,,39.998468,-82.976803,,,,
1104,CLE17TN,CLEVELAND AVE & E 17TH AVE,,40.000161,-82.975688,,,,
1105,RIDREDW,RIDGECLIFF RD & REDDING RD,,40.023013,-83.07001,,,,
1106,CLE19TN,CLEVELAND AVE & E 19TH AVE,,40.002498,-82.974205,,,,
1108,CLE23RN,CLEVELAND AVE & E 23RD AVE,,40.005664,-82.972204,,,,
1109,CLE25TN,CLEVELAND AVE & E 25TH AVE,,40.006947,-82.971424,,,,
1110,CLEDUXN,CLEVELAND AVE & DUXBERRY AVE,,40.008692,-82.970345,,,,
1111,CLECORN,CLEVELAND AVE & CORDELL AVE,,40.011141,-82.968854,,,,
1113,CLEHUDN,CLEVELAND AVE & E HUDSON ST,,40.013473,-82.967418,,,,
1114,CLEREPN,CLEVELAND AVE & REPUBLIC AVE,,40.015552,-82.966119,,,,
1116,CLEGENN,CLEVELAND AVE & GENESSEE AVE,,40.018498,-82.964969,,,,
1117,CLELINN,CLEVELAND AVE & LINDEN PL,,40.020066,-82.964835,,,,
1118,CLEWEBN,CLEVELAND AVE & E WEBER RD,,40.022961,-82.964612,,,,
1119,CLELAKN,CLEVELAND AVE & E LAKEVIEW AVE,,40.025778,-82.964395,,,,
1122,CLENORBN,CLEVELAND AVE & E NORTH BROADWAY,,40.029775,-82.964074,,,,
1123,CLEOAKN,CLEVELAND AVE & OAKLAND PARK AVE,,40.031563,-82.9639,,,,
1124,CLEHUYN,CLEVELAND AVE & HUY RD,,40.034844,-82.963432,,,,
1125,INNDERE,INNIS RD & DERBYSHIRE DR,,40.037124,-82.958278,,,,
1127,INNUSPW,INNIS RD & US POSTAL SERVICE,2200 INNIS RD,40.037179,-82.955294,,,,
1128,INNCLEW,INNIS RD & CLEVELAND AVE,,40.037463,-82.96211,,,,
1129,NORINNIS,NORTHERN LIGHTS SVC RD & INNIS RD,,40.038016,-82.963139,,,,
1132,CLEHUYS,CLEVELAND AVE & HUY RD,,40.035356,-82.963557,,,,
1134,CLEOAKS,CLEVELAND AVE & OAKLAND PARK AVE,,40.03154,-82.964134,,,,
1135,CLENORS,CLEVELAND AVE & E NORTH BROADWAY,,40.029236,-82.964277,,,,
1136,CLEWELS,CLEVELAND AVE & WELDON AVE,,40.027433,-82.964417,,,,
1137,CLELAKS,CLEVELAND AVE & E LAKEVIEW AVE,,40.025441,-82.964577,,,,
1139,CLEWEBS,CLEVELAND AVE & E WEBER RD,,40.02293,-82.964823,,,,
1140,CLEABES,CLEVELAND AVE & ABERDEEN AVE,,40.02034,-82.965028,,,,
1141,CLEGENS,CLEVELAND AVE & GENESSEE AVE,,40.019214,-82.965118,,,,
1143,CLEHUDS,CLEVELAND AVE & E HUDSON ST,,40.013425,-82.967624,,,,
1144,CLECORS,CLEVELAND AVE & CORDELL AVE,,40.010981,-82.969128,,,,
1145,CLEMAYS,CLEVELAND AVE & E MAYNARD AVE,,40.009574,-82.969991,,,,
1146,CLE26TS,CLEVELAND AVE & E 26TH AVE,,40.007815,-82.971065,,,,
1147,CLE24TS,CLEVELAND AVE & E 24TH AVE,,40.006441,-82.971912,,,,
